Unnamed: 0,Page_Group_ID,Post_ID,Post_Time,Post_Content,Comments_Size,Total_Interactions,Haha,Thích,Buồn,Yêu thích,Thương thương,Wow,Phẫn nộ,Label,Sublabel
10,P_CFS,10,2024-03-06 00:10:00,vẫn là mark sau khi sửa lỗi xong,1,394,238,148,5,1,2,0,0,Khác,
11,P_CFS,11,2024-03-05 23:25:00,đa tạ anh mark chưa cho em bay page em xin gửi tặng anh tất_cả đống deadline này,4,338,200,128,8,2,0,0,0,Khác,
12,P_CFS,12,2024-03-05 23:21:00,cứ tưởng mất cái nick rồi không được,17,428,230,153,42,3,0,0,0,Khác,
13,P_CFS,13,2024-03-05 21:57:00,đây là tôi sau khi vừa học vừa chạy deadline vừa ăn vừa ngủ,5,160,38,93,27,2,0,0,0,Khác,
14,P_CFS,14,2024-03-05 20:00:00,xin chào mọi người qua đây tôi sẽ kể cho mọi người nghe về câu_chuyện đi làm_đầu năm của tôi vào tháng tôi đã ứng_tuyển vào một trung_tâm dạy toán tư_duy cho lớp tiền tiểu_học và nhận được lịch phỏng_vấn vào ngày thứ phải chuẩn_bị hồ_sơ xin việc và thẻ sinh_viên tới buổi phỏng_vấn tôi được biết là ca làm_việc bắt_đầu lúc giờ_phút hằng ngày và thứ có thêm ca từ giờ_phút thứ chủ_nhật có thêm ca sáng từ giờ đến giờ mức lương thử việc là nghìn đồnggiờ chính_thức là nghìn đồnggiờ xin nghỉ báo trước tuần nghỉ luôn phải báo trước tuần chị ấy hỏi tôi thấy mức lương này như thế_nào trước đây tôi thường dạy với mức lương nghìn giờ còn ở các trung_tâm khác thì khoảng nghìn đồnggiờ tôi cũng thấy hơi buồn nhưng thôi vì đang rảnh và tôi cũng không quan_trọng tiền_nong chị chủ sẽ phụ làm thêm việc dọn_dẹp lớp_học chứ không bắt tôi làm công_việc của tôi kết_thúc lúc giờ_phút sau đó tôi phải lau nhà lần lau kính lau bảng quét nhà_hàng ngày ở tầng xong mọi việc tôi nghỉ một_chút đến giờ_phút các bé tới tôi phải ra tận cửa đón bé chào phụ_huynh dẫn bé cất áo_khoác dép giày sau khi đón các bé xong tôi được phân_công dạy bé đọc viết rồi quay_phim gửi phụ_huynh cuối buổi dạy cô ấy góp_ý thì tôi cũng nghe vì ngày đầu đi làm mà xong ngày thứ nhà tôi có tiệc nên giờ_phút tôi mới đến nhưng giờ_phút chị đã điện hỏi sao chưa đi làm mẹ tôi bắt máy tôi tới giờ_phút cũng xin_lỗi vì đã đi trễ sau đó bắt_đầu làm những công_việc như ngày tôi hỏi hôm_nay lau nhà không ạ nhận được câu trả_lời thôi em trễ rồi lau gì nữa ngày thứ kết_thúc ngày thứ ba đi làm là thứ thì tôi được ca lúc giờ_phút xong dạy hết bài lúc giờ_phút cô ấy bảo tôi chấm công xong mọi chuyện và vỡ_lẽ_ra là giờ_phút vào ca thì chỉ tính tiền từ lúc học_sinh_học giờ đến giờ còn thời_gian trước giờ tôi phải đi làm để chuẩn_bị lớp_học và không tính tiền và ca dạy sẽ là giờ nếu hôm đó tôi làm tốt chị tính giờ còn không thì_giờ trời ơi nghe là sượng trân từ đầu nói rõ vậy thì tôi cũng không nhận vậy là ngày hôm thứ đi dạy từ giờ_phút đến giờ_phút tôi chỉ được tính lương từ giờ giờ giờ giờ mặc_dù quá giờ tính tiền tôi vẫn còn dạy thứ tôi đến lúc giờ_phút dạy hết bài cho học_sinh và chỉ còn học_sinh chờ phụ_huynh đón mà lúc đó cũng giờ_phút rồi tôi mới xin cho em về nhà_ăn cơm chị đồng_ý tôi về chiều hôm thứ dạy tôi cũng có xin sáng chủ_nhật tôi có đám_cưới nên xin nghỉ được không và đương_nhiên là không được rồi chủ_nhật tôi có xin chị đi trễ phút đến nơi cô ấy thấy rất không vui rồi xong giờ_phút chị hỏi tôi đám_cưới ai tôi trả_lời xong chị cũng làm_thinh giờ_phút tôi dạy xong cho em học_sinh cuối_cùng rồi nói bye em chị về nha xong chị đó nổi_cáu lên nói ai cho em về em đi làm quán cà_phê hết ca mà còn khách không_lẽ em cũng về tôi bảo tôi dạy theo ca giờ giờ nay giờ_phút dạy xong em xin về chứ thế_là cô ấy gắt lên tôi cũng tiện_thể xin làm đến hết tuần sau nhưng cô ấy nói hôm_nay thôi thế_là tôi về ngày chị nhắc tôi trả áo ngày tôi trả có chị ấy luôn ở nhà nhưng khi tôi hỏi chị lấy tiền công chị online mà không rep lại và như đã nói lúc đầu mình làm ngày đi làm chị ấy không phụ mình dọn mà một_mình làm hết vậy là hết câu_chuyện đi làm ngày của tôi tiền công chưa lấy được nhưng tôi cũng có bài_học riêng cảm_ơn mọi người đã xem văn_chương của tôi lủng đoạn quá mong mọi người thông_cảm,8,68,0,40,27,0,0,0,1,Chia sẻ trải nghiệm,
15,P_CFS,15,2024-03-04 20:00:00,năm rồi mà thấy mấy đứa nhỏ đi quân_sự ước được đi_lại quá có cách nào để xin đi quân_sự lại không nhỉ công_nhận khi nhìn lại mấy em đi quân_sự làm mình nhớ lại khoảng thời_gian lúc trước ghê có cái không được lên trường_học lý_thuyết như mấy em bây_giờ mọi người có đồng_ý là đi quân_sự là lúc nhàn nhất của thời sinh_viên không nhỉ mình là mình thấy vậy đâýyy chỉ có là sáng dậy sớm tí thôi ăn hơi dở tí thôi nhưng mà cả ngày toàn đi chơi vu_vơ chứ chẳng cần học_hành gì luôn đêm đến tụm_tụm đánh_bài với nhảy_nhót thấy mà ước_ao ghê thôi_thì chúc mấy em có kỳ nghỉ thật vui_vẻ hạnh_phúc trước khi đón bão_tố của năm đại_học còn lại nhé,85,311,8,193,6,93,11,0,0,Chia sẻ trải nghiệm,
16,P_CFS,16,2024-03-03 19:32:00,cứu em mọi người ơi cỡ này thì chỉ có chui xuống cống mà ngồi thôi chứ còn mặt_mũi đâu mà đi học nữa em là sinh_viên năm chỉ vì mấy bữa_nay deadline dí ngập mặt cộng thêm có nhiều vấn_đề cá_nhân nên em hay có xu_hướng hoài_niệm quá_khứ em hay đọc lại tin nhắn cũ và vào tường facebook của mọi người mọi việc sẽ rất bình_thường nếu không có buổi tối hôm đó em đang đọc lại tin nhắn của em với anh_chàng em có mập_mờ năm trước thì điện_thoại oppo của em bị lag và thế_là em trượt tay bấm vào biểu_tượng trái_tim bên góc phải hồi trước anh ấy có đổi thà_là người khác còn dễ giải_thích đằng này anh_chàng em có trên tình bạn dưới tình_yêu trước đó rồi nhưng giờ em không thích nữa nên em đã chấm_dứt bây_giờ mình lại là người chủ_động nhắn trước thấy nó hèn hèn sao á mọi người tất_nhiên là em đã gỡ tin nhắn rồi nhưng không_thể ngờ được anh ấy có dùng notisave anh ấy hỏi lại là tim gì đó em xong em trả_lời là dạ em ấn nhầm ạ ok chắc là ấn nhầm anh ấy trả_lời lại vậy luôn mọi người ạ nghĩa_là anh ấy biết em theo_dõi tin nhắn rồi đúng không chứ người bình_thường không có ai ấn nhầm vào tin nhắn của người mà mình không nói_chuyện hơn năm hết huhu mà chẳng hiểu sao mọi khi thì không bao_giờ đụng mặt anh ấy cũng học đại_học kinh_tế nhưng từ sau vụ_việc đó thì thề đi đâu cũng gặp luôn í từ thư_viện căn tin khu a khu e khu g nhà_xe chào thì ngại mà không chào thì cũng không được riết như vậy rồi em không dám đi học luôn quá huhuuu các cao nhân có ai có bí_quyết gì giúp em vượt qua nỗi ngại_ngùng này không ạ em cảm_ơn nhiều,35,314,208,87,19,0,0,0,0,Tâm sự tình cảm,
17,P_CFS,17,2024-03-02 20:00:00,gửi các bạn cùng phòng dịp đi quân_sự các bạn hút thuốc hay thuốc_lá điện_tử thì tôi không quan_tâm nhưng tại_sao trong phòng kín mà cứ phì_phèo khói thuốc thế nhỉ các bạn có ý_thức không vậy tưởng làm thế_là ngầu à các bạn muốn hút thì tìm chỗ mà hút đừng để người khác bị ảnh_hưởng bởi sự vô_ý_thức của các bạn,67,219,111,94,9,3,0,2,0,"Phản ánh, bức xúc",Mâu thuẫn cá nhân
18,P_CFS,18,2024-03-02 09:01:00,ngoài bắc có phạm nhật vượng thì miền trung có đỗ quang_hiển,21,349,160,90,91,5,0,1,2,Khác,
19,P_CFS,19,2024-03-01 18:28:00,các bạn học quân_sự ở tầng khu a ơi mình biết là đi quân_sự có chơi có đùa mới có kỷ_niệm nhưng các bạn có_thể nhỏ tiếng một_chút được không ạ mình và một_số bạn trong phòng cả ngày đều đã rất mệt tối chỉ muốn nghỉ_ngơi một_chút thôi ạ nhưng các bạn la_hét ầm_ĩ tụi mình toàn phải đợi đến giờ tắt điện mới được đi nghỉ các bạn có_thể chơi có_thể đùa nói nhưng ở một mức_độ nào đó để không ảnh_hưởng đến người khác ạ nhiều lúc ồn_ào quá mình đến bực luôn á mong các bạn xem_lại mình cảm_ơn,124,182,54,93,32,3,0,0,0,"Phản ánh, bức xúc",Mâu thuẫn cá nhân
20,P_CFS,20,2024-02-29 19:00:00,có mấy đứa quan_tâm sự_kiện này cho vui chứ đi ngủ toàn lúc sáng,6,87,46,28,12,1,0,0,0,Khác,
21,P_CFS,21,2024-02-29 17:16:00,để kỷ_niệm ngày năm mới có một lần mình quyết_định thả hết deadline và nằm chơi tới tối,18,238,141,87,3,7,0,0,0,Ngày lễ,
22,P_CFS,22,2024-02-28 20:29:00,em chào mọi người dạo gần đây em có thích một bạn có khá nhiều điểm chung với em theo sự đánh_giá của những người xung_quanh thì mối quan_hệ của chúng em đang phát_triển theo chiều_hướng khá tích_cực nhưng hiện_tại em đang cảm_thấy khá khó xử bạn ấy thì có quá nhiều mối quan_hệ xung_quanh tương_tự như em còn em thì không có gì nổi_bật cả nên em chẳng biết phải làm_sao hơn nữa em cảm_thấy mình đang dần đi lệch khỏi quỹ_đạo của mình vạch ra ban_đầu nếu tiếp_tục cố_gắng cho mối quan_hệ này em sợ sẽ không đạt được mục_tiêu của bản_thân nữa mọi người có_thể cho em lời khuyên là em nên làm gì được không ạ,13,39,5,31,0,3,0,0,0,Tâm sự tình cảm,
23,P_CFS,23,2024-02-28 18:45:00,góc giải_đáp thắc_mắc,37,38,0,36,0,2,0,0,0,Hỏi-đáp,Khác
24,P_CFS,24,2024-02-27 20:00:00,có câu_chuyện nào làm bạn cảm_thấy ấm lòng không sau khi trở_lại đà_nẵng sau tết tôi cùng bạn_bè đã đi ăn cùng nhau chúng_tôi ăn vui_vẻ ở một quán vỉa_hè trời mưa lất_phất đang ăn thì có một bé gái nhỏ đến bên cạnh em vừa gầy vừa nhỏ và có vẻ hơi nhút_nhát em nhỏ giọng nhờ tôi mua giúp một bịch đậu_phộng vì cũng còn mùng tết và chúng_tôi không thích đậu_phộng lắm nên tôi đưa đồng rồi nói em coi như chúng_tôi lì_xì cho em nhưng em lắc_đầu không chịu nhất_quyết đưa tôi bịch đậu_phộng sau khi nói_chuyện thì chúng_tôi biết là em mới có tuổi thôi mỗi tối em phải bán đủ đồng thì mới được nghỉ thật_ra em đã có_thể lấy đồng của chúng_tôi và cầm bịch đậu_phộng đi bán tiếp để lời thêm hoặc nghỉ sớm nhưng em không làm vậy em nói là em được dạy phải trung_thực làm gì ăn nấy sau khi em đi tôi vẫn suy_nghĩ về em rất nhiều không hiểu sao nhưng tôi cảm_thấy em là một vết ấm lòng vào buổi tối mưa như_vậy,2,293,0,168,2,119,4,0,0,Chia sẻ trải nghiệm,
25,P_CFS,25,2024-02-26 19:40:00,nghe đồn đi quân_sự được tuần thấy rất vui và không muốn về,103,238,82,132,20,1,0,2,1,Sự kiện trường,
26,P_CFS,26,2024-02-26 18:30:00,chuyện là mình học khóa và đang học quân_sự phần thực_hành nói thật là mình nghe rất nhiều câu_chuyện từ mấy đứa bạn mình kể lại nào là đi quân_sự đi về rất nhiều nhưng mà đến khi vào học trực_tiếp thì mình mới thấy điều ấy khó lắm mọi người ạ mình nhìn các bạn ai cũng như_ai các bạn kinh_tế rất xinh nhưng mà không tiếp_xúc khó để có ấn_tượng với ai đó mọi người và thế_là mình cứ nghĩ thôi_thì quân_sự học vui_vẻ vậy thôi được rồi người_yêu thì kiếm hơi khó rồi đến hôm thứ vừa rồi đại_đội mình có được thầy cho hát karaoke vui dữ luôn và đó cũng chính là lúc mình gặp được bạn ấy bạn ấy nhìn thoạt qua người nhỏ_nhắn xinh_xắn tết tóc dễ_thương lắm kìa nhìn cái nét con_gái hay ngại_ngùng ấy mình cũng rất thích nữa ấn_tượng hơn và làm mình không_thể rời mắt khỏi bạn từ đó đến ngày hôm_nay là khi bạn cất_tiếng hát lên trúng y bài mình thích lúc trước chiều_hôm ấy trời ơi mình mê_mẩn giọng hát và khuôn_mặt ấy thiệt sự nhẹ_nhàng tình_cảm thuần_khiết kiểu gì á kể cũng hơi dài tại mình cất trong lòng và muốn hỏi thử thông_tin liên_lạc của bạn mà mình ngại quá mong mọi người hỗ_trợ mình cảm_ơn nhé,97,215,92,112,2,9,0,0,0,Tâm sự tình cảm,
27,P_CFS,27,2024-02-26 11:25:00,bất_lực,5,178,36,91,51,0,0,0,0,Khác,
28,P_CFS,28,2024-02-25 20:36:00,chuyện là tôi là một sinh_viên năm ngày hôm_nay tôi có tham_gia hoạt_động đổi_mới sáng_tạo trong giáo_dục bên khu e mà hình_như hoạt_động này ít ai bên chính_quy đi thì phải lớp có một_mình tôi đi có mấy bạn chính_quy bên lớp khác và đa_số là các bạn bên khoa đào_tạo chất_lượng cao trước đây tôi có đọc mấy bài nói về bên khoa này mà đa_số là bài tiêu_cực kêu tụi này rớt chính_quy mới qua đó đầu_vào dễ nên toàn mấy người dốt giàu nên chảnh nhưng mà tôi đi cái đó về tôi cảm_nhận khác lắm nha mấy bạn đó giỏi cực nói tiếng anh chuẩn mà chia_sẻ quan_điểm ý_kiến hay thuyết_trình bằng tiếng anh đỉnh lắm nha mà tôi cũng chả thấy mấy bạn đó chảnh hài_hước và thân_thiện lắm tôi rất ít nói nên là tôi cũng không dám bắt_chuyện có mấy bạn bắt_chuyện với tôi và tôi thấy mấy bạn đó ai cũng hài_hước lắm luôn tham_gia toàn là cười thôi tuy là tôi cũng chưa hòa hợp lắm tại tôi hướng_nội nhưng mà tôi vẫn cảm_nhận được mấy bạn đó mang năng_lượng rất tích_cực giỏi nữa ạ ước được nói tiếng anh như bắn rap như các bạn tôi hy_vọng bài viết này một phần_nào đó giúp bên chính_quy và đào_tạo chất_lượng cao có_thể tham_gia chung với nhau ở các hoạt_động trước đó nghe mọi người truyền tai về các khoa này nó xấu lắm nhưng mà tiếp_xúc rồi mới thấy nó không phải là như_vậy,35,135,2,82,0,48,2,1,0,Chia sẻ trải nghiệm,
29,P_CFS,29,2024-02-25 16:52:00,em muốn yêu em sắp ra trường rồi,123,591,378,152,54,5,2,0,0,Tâm sự tình cảm,
30,P_CFS,30,2024-02-24 19:30:00,chào mọi người mọi người giúp em với chứ em cũng không biết mình bị gì nữa chẳng_là em không phải thuộc kiểu người tin vào mấy cái chiêm_tinh cung hoàng_đạo nên khi mấy đứa bạn em biết em là song tử tháng rồi nói em là red flag các kiểu em không quan_tâm lắm em nghĩ việc gì cũng sẽ có ngoại_lệ và em thì sao mà red flag được cho đến một ngày em crush cái anh kia phải nói là em thích ra_mặt luôn í không biết anh có biết không chứ em chắc_chắn cả thế_giới biết cả rồi ạ gần như cả ngày em đều nghĩ tới anh và nói_chung là em quan_tâm anh dữ lắm rồi nhưng không hiểu sao anh thích lại em thì em lại không thích anh nữa kiểu em bắt_đầu thấy anh phiền lắm và em không muốn rep tin nhắn anh nữa í với cả em chỉ muốn trong mối quan_hệ mập_mờ thôi ạ chứ nếu người_ta bảo làm_quen nghiêm_túc thì em lại từ_chối liền rồi bữa có bạn kia có vẻ như là thích em rồi em biết điều đó rồi nhưng em không nói ra em cứ để bạn quan_tâm thoải_mái nói_chuyện mặc_dù em không thích bạn đó chút nào tại ai cũng cần người quan_tâm mà đúng không ạ em có kể cho bạn em nghe thì bạn nói em là red flag đỏ_lòm rồi nhưng em đâu thấy như vậy đâu em chỉ tắt trạng_thái hoạt_động seen tin nhắn để lướt tiktok và những việc kể trên thôi mà huhu,66,137,70,46,18,2,0,1,0,Tâm sự tình cảm,
31,P_CFS,31,2024-02-24 15:00:00,cần gì phải xem đào phở và piano trong khi bạn đã có bài_vở và deadline,30,482,224,151,102,3,1,1,0,Vấn đề trường,Khác
32,P_CFS,32,2024-02-23 23:08:00,ổn không má,66,360,221,124,13,1,0,1,0,Khác,
33,P_CFS,33,2024-02-23 20:00:00,mình vừa nhận được điểm gpa học_kỳ này điểm khá tốt và mình đã rất vui thực_sự mình không phải là kiểu sẽ khoe_khoang gì nhiều mình chỉ_định sẽ nói với một_vài người bạn mình hay chơi và thay_vì nhận được lời chúc_mừng hay gì đó họ tỏ thái_độ hờ_hững và không mấy vui_vẻ khi nghe mình nói họ còn bảo lại có người cao_điểm hơn mày đó dạ kính thưa mình chưa từng nhận điểm mình là cao nhất mình nhận được điểm tốt lẽ_nào mình không có quyền tự_hào về nó nhưng những lần trước không phải mình luôn lắng_nghe vui_vẻ trước bất_kỳ chuyện vui nào của các bạn sao bạn được điểm_cao hơn mình mình vui thay cho bạn mà mình công_nhận việc này một phần cũng là lỗi của mình mình chọn sai bạn mình chia_sẻ với những người sẽ không vui khi mình hơn họ chia_sẻ với người sẽ đố_kỵ với mình ở những khía_cạnh dù là nhỏ nhất mình lên nói điều này chỉ để nhắc_nhở một người một xíu bạn_bè không mấy ai thật lòng mình chỉ nên chia_sẻ với người thật_sự quan_tâm trân_trọng mình thôi ps gửi đến những người bạn thân_yêu mình thua thì mình nhận đi nha cũng lớn rồi còn bé_bỏng gì đâu,44,163,42,99,19,2,0,1,0,Chia sẻ trải nghiệm,
34,P_CFS,34,2024-02-23 18:09:00,con_gái chị học kinh_tế à năm nay lớn đẹp gái quá tôi có đứa con_trai học bách_khoa,24,326,207,111,4,3,0,1,0,Chia sẻ trải nghiệm,
35,P_CFS,35,2024-02-22 22:11:00,nên trân_trọng những người xung_quanh ta,17,294,132,105,53,3,0,0,1,Chia sẻ trải nghiệm,
36,P_CFS,36,2024-02-22 19:24:00,chào các bạn mình là kỹ_sư truyền_thông mới ra trường vài năm vừa chuyển công_tác từ sài_gòn ra đà_nẵng ra đây mình chẳng quen ai nên cảm_thấy hơi cô_đơn có bạn nữ nào rảnh_rỗi đi chơi với mình được không mình là một người rất dễ_tính thoải_mái yêu thể_dục thể_thao thường_xuyên chạy bộ và đạp xe nếu bạn nữ nào cảm_thấy đang cần một người biết lắng_nghe biết chia_sẻ và lạc_quan thì thả nhẹ trái_tim bé tí_ti nha mình sẽ chủ_động làm_phiền đu bám để thổi trái_tim đó to hơn,55,126,21,71,3,26,4,1,0,Tâm sự tình cảm,
37,P_CFS,37,2024-02-22 18:18:00,bị đuổi khỏi nhóm nói gì cho ngầu,22,595,460,122,11,1,1,0,0,Khác,
38,P_CFS,38,2024-02-21 20:08:00,đầu năm xin không nghỉ trường nhưng năm nay hy_vọng trường mình sẽ xây_dựng lại một_vài khu nhé vì em thấy xuống_cấp quá rồi đấy trường ơi đặc_biệt là khu nhà vệ_sinh của thư_viện khu này tàn hơn cả nhà ma_á trường ơi mong trường sẽ dành một khoản tiền lớn để xây_dựng lại vì tụi em thấy xuống_cấp quá hôm trước em dẫn bạn em qua mà thấy nó chê trường nhưng em không cản được vì không có_lý_do để cản không biết là có ai biết tầng phòng_vệ_sinh nó tệ lắm không nhỉ bẩn thì không bẩn nhưng mà bị hư_hại nhiều nên mong nhà_trường xem_xét nếu đã xây nhà_xe rồi thì giờ dồn tiền qua xây lại phòng_vệ_sinh thư_viện đi ạ nếu có_thể xây thêm thư_viện mới bên cạnh càng tốt ạ chứ buổi trưa hay mùa thi chen_lấn xô_đẩy vào thư_viện tụi em mệt lắm chúc trường năm mới có nhiều tiền để xây thêm cơ_sở vật_chất nhưng đừng thu thêm học_phí,15,142,69,71,0,2,0,0,0,Vấn đề trường,Cơ sở vật chất
39,P_CFS,39,2024-02-21 18:00:00,làm mất_mặt dân kinh_tế quá đi,31,400,220,169,5,5,0,1,0,Khác,
40,P_CFS,40,2024-02-21 10:00:00,nói_chung đời sinh_viên cũng vui_vẻ lắm tóm_tắt một_vài ngày đầu sau tết của một_vài sinh_viên,5,122,67,44,10,1,0,0,0,Ngày lễ,
